"VILLE",CODE_INSEE,LONGITUDE,LATITUDE,DATE,INDICE_QUALITE_AIR,SOUS_INDICE_OZONE,SOUS_INDICE_PARTICULES_FINES,SOUS_INDICE_DIOXYDE_D'AZOTE,SOUS_INDICE_DIOXYDE_DE_SOUFRE,"CODE_COULEUR"
"LAVAL",53130,-0.770371, 48.072007,20/05/2005,3,3,2,1,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,21/05/2005,4,4,2,1,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,22/05/2005,4,4,2,1,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,23/05/2005,4,4,2,1,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,24/05/2005,4,4,2,2,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,25/05/2005,5,5,3,2,1,"ORANGE"
"LAVAL",53130,-0.770371, 48.072007,26/05/2005,5,5,3,3,1,"ORANGE"
"LAVAL",53130,-0.770371, 48.072007,27/05/2005,7,7,3,2,1,"ORANGE"
"LAVAL",53130,-0.770371, 48.072007,28/05/2005,4,4,2,1,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,29/05/2005,3,3,2,1,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,30/05/2005,4,4,2,2,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,31/05/2005,4,4,2,2,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,01/06/2005,4,4,2,2,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,02/06/2005,5,5,2,2,1,"ORANGE"
"LAVAL",53130,-0.770371, 48.072007,03/06/2005,4,4,2,1,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,04/06/2005,3,3,2,1,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,05/06/2005,3,3,1,1,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,06/06/2005,3,3,2,1,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,07/06/2005,4,4,2,1,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,08/06/2005,5,5,3,2,1,"ORANGE"
"LAVAL",53130,-0.770371, 48.072007,09/06/2005,5,5,3,2,1,"ORANGE"
"LAVAL",53130,-0.770371, 48.072007,10/06/2005,5,5,3,2,1,"ORANGE"
"LAVAL",53130,-0.770371, 48.072007,11/06/2005,4,4,3,1,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,12/06/2005,4,4,2,1,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,13/06/2005,4,4,2,1,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,14/06/2005,5,5,2,2,1,"ORANGE"
"LAVAL",53130,-0.770371, 48.072007,15/06/2005,3,3,2,1,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,16/06/2005,3,3,2,1,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,17/06/2005,3,3,2,1,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,18/06/2005,4,4,2,1,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,19/06/2005,5,5,2,2,1,"ORANGE"
"LAVAL",53130,-0.770371, 48.072007,20/06/2005,4,4,2,1,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,21/06/2005,4,4,2,1,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,22/06/2005,5,5,2,2,1,"ORANGE"
"LAVAL",53130,-0.770371, 48.072007,23/06/2005,7,7,3,2,1,"ORANGE"
"LAVAL",53130,-0.770371, 48.072007,24/06/2005,6,6,3,1,1,"ORANGE"
"LAVAL",53130,-0.770371, 48.072007,25/06/2005,5,5,3,1,1,"ORANGE"
"LAVAL",53130,-0.770371, 48.072007,26/06/2005,5,5,3,1,1,"ORANGE"
"LAVAL",53130,-0.770371, 48.072007,27/06/2005,6,6,3,2,1,"ORANGE"
"LAVAL",53130,-0.770371, 48.072007,28/06/2005,5,5,3,2,1,"ORANGE"
"LAVAL",53130,-0.770371, 48.072007,29/06/2005,4,4,2,1,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,30/06/2005,3,3,2,1,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,01/07/2005,3,3,3,1,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,02/07/2005,3,3,2,1,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,03/07/2005,4,4,3,1,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,04/07/2005,3,3,2,1,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,05/07/2005,3,3,2,1,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,06/07/2005,3,3,2,1,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,07/07/2005,4,4,2,1,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,08/07/2005,4,4,2,2,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,09/07/2005,5,5,2,1,1,"ORANGE"
"LAVAL",53130,-0.770371, 48.072007,10/07/2005,5,5,3,1,1,"ORANGE"
"LAVAL",53130,-0.770371, 48.072007,11/07/2005,6,6,3,1,1,"ORANGE"
"LAVAL",53130,-0.770371, 48.072007,12/07/2005,5,5,3,1,1,"ORANGE"
"LAVAL",53130,-0.770371, 48.072007,13/07/2005,6,6,3,1,1,"ORANGE"
"LAVAL",53130,-0.770371, 48.072007,14/07/2005,7,7,5,3,1,"ORANGE"
"LAVAL",53130,-0.770371, 48.072007,15/07/2005,7,7,3,1,1,"ORANGE"
"LAVAL",53130,-0.770371, 48.072007,16/07/2005,5,5,2,1,1,"ORANGE"
"LAVAL",53130,-0.770371, 48.072007,17/07/2005,6,6,2,1,1,"ORANGE"
"LAVAL",53130,-0.770371, 48.072007,18/07/2005,4,4,2,1,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,19/07/2005,3,3,2,1,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,20/07/2005,2,2,2,1,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,21/07/2005,2,2,2,1,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,22/07/2005,5,5,2,1,1,"ORANGE"
"LAVAL",53130,-0.770371, 48.072007,23/07/2005,3,3,2,1,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,24/07/2005,3,3,1,1,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,25/07/2005,3,3,2,,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,26/07/2005,3,3,2,,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,27/07/2005,4,4,2,,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,28/07/2005,4,4,2,1,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,29/07/2005,4,4,2,1,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,30/07/2005,4,4,2,1,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,31/07/2005,3,3,1,1,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,01/08/2005,4,4,1,1,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,02/08/2005,4,4,2,1,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,03/08/2005,3,3,2,1,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,04/08/2005,3,3,2,1,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,05/08/2005,3,3,2,2,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,06/08/2005,4,4,2,1,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,07/08/2005,4,4,2,1,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,08/08/2005,4,4,2,1,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,09/08/2005,4,4,2,1,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,10/08/2005,5,5,2,1,1,"ORANGE"
"LAVAL",53130,-0.770371, 48.072007,11/08/2005,4,4,2,1,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,12/08/2005,3,3,2,1,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,13/08/2005,3,3,1,1,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,14/08/2005,3,3,2,1,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,15/08/2005,3,3,2,1,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,16/08/2005,5,5,2,1,1,"ORANGE"
"LAVAL",53130,-0.770371, 48.072007,17/08/2005,5,5,2,2,1,"ORANGE"
"LAVAL",53130,-0.770371, 48.072007,18/08/2005,5,5,3,2,1,"ORANGE"
"LAVAL",53130,-0.770371, 48.072007,19/08/2005,4,4,2,1,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,20/08/2005,3,3,2,1,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,21/08/2005,4,4,2,1,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,22/08/2005,2,2,1,2,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,23/08/2005,3,3,2,2,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,24/08/2005,3,3,2,2,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,25/08/2005,3,3,2,2,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,26/08/2005,3,3,2,2,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,27/08/2005,3,3,2,2,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,28/08/2005,4,4,2,3,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,29/08/2005,5,5,2,3,1,"ORANGE"
"LAVAL",53130,-0.770371, 48.072007,30/08/2005,6,6,2,3,1,"ORANGE"
"LAVAL",53130,-0.770371, 48.072007,31/08/2005,6,6,3,3,1,"ORANGE"
"LAVAL",53130,-0.770371, 48.072007,01/09/2005,4,4,2,1,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,02/09/2005,3,3,2,2,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,03/09/2005,5,5,3,3,1,"ORANGE"
"LAVAL",53130,-0.770371, 48.072007,04/09/2005,6,6,3,1,1,"ORANGE"
"LAVAL",53130,-0.770371, 48.072007,05/09/2005,3,3,1,2,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,06/09/2005,3,3,2,2,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,07/09/2005,4,4,2,2,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,08/09/2005,5,5,3,3,1,"ORANGE"
"LAVAL",53130,-0.770371, 48.072007,09/09/2005,3,3,2,2,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,10/09/2005,3,3,2,1,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,11/09/2005,3,3,2,1,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,12/09/2005,3,3,3,1,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,13/09/2005,3,3,3,2,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,14/09/2005,4,4,3,3,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,15/09/2005,3,3,2,2,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,16/09/2005,2,2,1,1,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,17/09/2005,3,,,,,"VERT"
"LAVAL",53130,-0.770371, 48.072007,18/09/2005,3,3,2,1,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,19/09/2005,4,4,2,2,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,20/09/2005,4,4,2,3,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,21/09/2005,5,5,3,4,1,"ORANGE"
"LAVAL",53130,-0.770371, 48.072007,22/09/2005,6,6,3,4,1,"ORANGE"
"LAVAL",53130,-0.770371, 48.072007,23/09/2005,5,5,3,3,1,"ORANGE"
"LAVAL",53130,-0.770371, 48.072007,24/09/2005,3,3,2,2,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,25/09/2005,3,3,2,3,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,26/09/2005,3,3,2,2,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,27/09/2005,2,2,2,2,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,28/09/2005,3,3,2,2,1,"VERT"
